"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"250",0,4.55099633802995,0.618,0.026,0,"12","SIGLEC10"
"251",0,4.55218785426591,0.587,0.022,0,"12","HES4"
"252",0,4.22767297452014,0.566,0.036,0,"12","GPBAR1"
"253",0,5.00761069348023,0.525,0.018,0,"12","NEURL1"
"254",0,4.9682869144711,0.494,0.017,0,"12","LINC02432"
"255",0,5.55277902428573,0.391,0.008,0,"12","AC064805.1"
"256",0,8.82828255132072,0.379,0.001,0,"12","AC104809.2"
"257",0,6.03207959214686,0.358,0.004,0,"12","AC020651.2"
"258",0,4.31015966019446,0.362,0.015,0,"12","TNFRSF8"
"259",0,4.51376739629129,0.355,0.015,0,"12","ICAM4"
"260",0,7.17260267121629,0.327,0.004,0,"12","LYPD2"
"261",0,4.59057019033059,0.943,0.136,0,"13","HLA-DQA1"
"262",0,4.00195910829302,0.99,0.265,0,"13","HLA-DRA"
"263",0,4.0746985514766,0.931,0.224,0,"13","HLA-DQB1"
"264",0,3.92220882326,0.943,0.259,0,"13","HLA-DRB5"
"265",0,4.033241833918,0.986,0.355,0,"13","HLA-DPA1"
"266",0,4.09891275934377,0.975,0.363,0,"13","HLA-DPB1"
"267",0,5.94969545514251,0.604,0.021,0,"13","CLEC10A"
"268",0,6.61770466065253,0.591,0.015,0,"13","CD1C"
"269",0,6.0395443199072,0.584,0.012,0,"13","FCER1A"
"270",0,4.16118807575256,0.544,0.034,0,"13","NAPSA"
"271",0,5.0527973876717,0.513,0.014,0,"13","FLT3"
"272",0,5.47988651626516,0.352,0.008,0,"13","ENHO"
"273",0,4.83114558467027,0.347,0.01,0,"13","PKIB"
"274",0,4.21482287472861,0.345,0.02,0,"13","BATF3"
"275",0,4.48579758637058,0.363,0.051,0,"13","HLA-DQA2"
"276",0,4.36498542504439,0.293,0.009,0,"13","CYP2S1"
"277",0,3.97501455766056,0.288,0.014,0,"13","HLA-DQB2"
"278",0,8.03999339686132,0.263,0.002,0,"13","CD1E"
"279",0,4.13476305194561,0.266,0.017,0,"13","C15orf48"
"280",0,3.97271222211807,0.26,0.016,0,"13","SLAMF8"
"281",0,5.03735777872819,0.959,0.091,0,"14","HBB"
"282",0,5.27644096077958,0.896,0.061,0,"14","HBA2"
"283",0,5.51416521776404,0.884,0.05,0,"14","HBA1"
"284",0,3.8590137437403,0.701,0.132,0,"14","SLC25A37"
"285",0,6.86158748654197,0.273,0.005,0,"14","ALAS2"
"286",4.74497157561258e-220,4.51266764704719,0.263,0.035,1.73670704638996e-215,"14","SNCA"
"287",5.95966182520165e-64,2.94549795686437,0.425,0.238,2.18129582464206e-59,"14","SLC25A39"
"288",1.2765148554353e-32,1.60381469198693,0.541,0.5,4.67217202237876e-28,"14","GYPC"
"289",4.40479549848353e-26,1.10409348105116,0.665,0.749,1.61219920039996e-21,"14","UBB"
"290",1.60131891232016e-19,0.484581223508556,0.103,0.273,5.86098735098301e-15,"14","MAT2A"
"291",5.83673086003539e-18,0.594855454273573,0.243,0.484,2.13630186208155e-13,"14","SRSF2"
"292",6.09527176086261e-12,0.630501164052557,0.186,0.349,2.23093041719332e-07,"14","REL"
"293",1.91216335373793e-08,0.665214750875295,0.18,0.32,0.000699870909101621,"14","CEMIP2"
"294",5.31624748790861e-08,0.656139425266211,0.373,0.305,0.00194579974304943,"14","DHFR"
"295",1.51335609470542e-07,0.518671612177937,0.197,0.33,0.0055390346422313,"14","SYTL3"
"296",3.52153051937026e-06,1.44837269861926,0.256,0.215,0.128891538539471,"14","BLVRB"
"297",3.81667834725744e-06,0.70435499486063,0.177,0.283,0.13969424418797,"14","RBM38"
"298",6.62973988483953e-05,0.512115243411607,0.19,0.293,1,"14","GSPT1"
"299",0.000101754513021875,0.67087942063446,0.262,0.399,1,"14","DDIT4"
"300",0.00410719307388306,0.90550397818056,0.479,0.603,1,"14","GUK1"
"301",0,8.96652236606963,0.774,0.005,0,"15","TPSAB1"
"302",0,9.06714419589128,0.741,0.004,0,"15","TPSB2"
"303",0,10.0672204644436,0.646,0.002,0,"15","CPA3"
"304",0,9.22080450579398,0.496,0.003,0,"15","CTSG"
"305",0,9.85209001624151,0.491,0.002,0,"15","HDC"
"306",0,8.12231429881833,0.44,0.009,0,"15","GATA2"
"307",0,8.47498673713084,0.437,0.008,0,"15","KIT"
"308",0,7.22536237267743,0.44,0.021,0,"15","VWA5A"
"309",0,9.61633511904754,0.413,0.001,0,"15","TPSD1"
"310",0,10.3215423569904,0.404,0.001,0,"15","MS4A2"
"311",0,6.73676907804741,0.444,0.044,0,"15","HPGD"
"312",0,8.11100801261032,0.407,0.007,0,"15","SLC24A3"
"313",0,8.64487395049137,0.381,0.007,0,"15","HPGDS"
"314",0,6.51354363006102,0.378,0.015,0,"15","RHEX"
"315",0,7.96583761486908,0.321,0.007,0,"15","SLC18A2"
"316",0,5.12936253249039,0.309,0.031,0,"15","BACE2"
"317",0,9.8218817223446,0.266,0.001,0,"15","IL1RL1"
"318",0,7.51326777780129,0.26,0.006,0,"15","RGS13"
"319",0,9.57777725151027,0.254,0.001,0,"15","GCSAML"
"320",0,8.87512535181211,0.253,0.001,0,"15","CMA1"
"321",0,11.2720679646658,0.879,0.004,0,"16","DCN"
"322",0,10.3032519893146,0.855,0.003,0,"16","MFAP4"
"323",0,12.2947627023409,0.848,0.001,0,"16","LUM"
"324",0,10.0573781109608,0.857,0.012,0,"16","APOD"
"325",0,9.75587414414805,0.846,0.005,0,"16","MMP2"
"326",0,10.8835506807221,0.812,0.002,0,"16","FBLN1"
"327",0,11.8089502145782,0.738,0.002,0,"16","CXCL14"
"328",0,10.4591488212022,0.701,0.001,0,"16","CCN5"
"329",0,10.6470975398377,0.695,0.002,0,"16","DPT"
"330",0,9.508459485078,0.651,0.001,0,"16","PDGFRA"
"331",0,9.64872455505116,0.556,0.003,0,"16","MFAP5"
"332",0,10.0317711874224,0.553,0.001,0,"16","SVEP1"
"333",0,10.0904054725275,0.528,0.001,0,"16","THBS2"
"334",0,9.92735739387573,0.506,0.001,0,"16","SCARA5"
"335",0,9.61952944822459,0.499,0.001,0,"16","HTRA3"
"336",0,9.75799857800615,0.473,0.001,0,"16","CILP"
"337",0,10.8214619046031,0.398,0.001,0,"16","SFRP2"
"338",0,9.54220610710774,0.354,0,0,"16","CNTFR"
"339",0,9.3023790666267,0.324,0.001,0,"16","LRRN4CL"
"340",0,10.5173550819838,0.308,0,0,"16","LINC02511"
"341",0,5.41742660532057,0.847,0.127,0,"17","CSF3R"
"342",0,9.02310633554717,0.675,0.012,0,"17","FCGR3B"
"343",0,5.50835855264943,0.643,0.098,0,"17","BASP1"
"344",0,8.36448274753546,0.469,0.008,0,"17","KCNJ15"
"345",0,6.41728639557795,0.48,0.036,0,"17","LUCAT1"
"346",0,5.79169754300662,0.497,0.056,0,"17","GLT1D1"
"347",0,5.88463259864854,0.472,0.053,0,"17","TREM1"
"348",0,5.72997232276755,0.448,0.041,0,"17","AQP9"
"349",0,6.88514375511309,0.415,0.025,0,"17","CXCR2"
"350",0,8.41929745609615,0.388,0.01,0,"17","EPHB1"
"351",0,8.49925793351147,0.376,0.007,0,"17","CMTM2"
"352",0,7.24340753894828,0.371,0.019,0,"17","PROK2"
"353",0,8.31418720150809,0.344,0.007,0,"17","MME"
"354",0,7.52105300614727,0.346,0.013,0,"17","TNFRSF10C"
"355",0,5.59814201980075,0.363,0.043,0,"17","DYSF"
"356",0,8.37140075502547,0.324,0.005,0,"17","ALPL"
"357",0,6.77712522500956,0.324,0.021,0,"17","IL1R2"
"358",0,6.44333475671596,0.31,0.019,0,"17","MMP25"
"359",0,7.44878962078383,0.3,0.01,0,"17","S100P"
"360",0,7.43839756537687,0.275,0.014,0,"17","AC005050.3"
"361",0,4.66853453306627,0.848,0.067,0,"18","IL1B"
"362",0,4.17274593508822,0.85,0.11,0,"18","KYNU"
"363",0,4.48605836102896,0.786,0.054,0,"18","CXCL8"
"364",0,4.98293926786073,0.744,0.05,0,"18","AL078604.4"
"365",0,4.34606629491938,0.715,0.074,0,"18","NLRP3"
"366",0,4.44376968756225,0.668,0.047,0,"18","CXCL2"
"367",0,5.86256464189942,0.589,0.023,0,"18","EREG"
"368",0,5.91108159775378,0.537,0.017,0,"18","OLR1"
"369",0,4.17964256804576,0.492,0.03,0,"18","CXCL3"
"370",0,4.31403302947931,0.496,0.043,0,"18","THBS1"
"371",0,4.13520377252643,0.482,0.037,0,"18","AL138720.1"
"372",0,4.29182361153141,0.392,0.019,0,"18","MIR3945HG"
"373",0,5.13955326687256,0.354,0.011,0,"18","AC079753.2"
"374",0,4.42059486267849,0.335,0.017,0,"18","AC106865.2"
"375",0,4.42588681821424,0.326,0.019,0,"18","AC013652.1"
"376",0,4.26414876277276,0.313,0.017,0,"18","CCL20"
"377",0,4.22748732928819,0.285,0.018,0,"18","NPHS1"
"378",0,6.838580350372,0.264,0.004,0,"18","SERPINB2"
"379",0,4.03254695056687,0.28,0.022,0,"18","CENPU"
"380",0,5.32798842512562,0.261,0.007,0,"18","IL1A"
"381",0,9.12726278775041,0.881,0.008,0,"19","KRT8"
"382",0,8.49948428956746,0.863,0.021,0,"19","KRT18"
"383",0,7.17864393998132,0.714,0.021,0,"19","CCN1"
"384",0,7.82140491640476,0.665,0.025,0,"19","FXYD2"
"385",0,9.16005573759505,0.615,0.005,0,"19","KRT7"
"386",0,8.73718662306741,0.498,0.002,0,"19","TM4SF4"
"387",0,8.75336961233758,0.48,0.003,0,"19","KRT19"
"388",0,8.83296459900547,0.476,0.001,0,"19","CLDN1"
"389",0,8.96725556344188,0.471,0.004,0,"19","SFRP5"
"390",0,8.65381143320017,0.456,0.004,0,"19","DEFB1"
"391",0,7.81987218471834,0.454,0.007,0,"19","CXCL1"
"392",0,8.58779426720491,0.441,0.005,0,"19","TACSTD2"
"393",0,9.870111197007,0.414,0.001,0,"19","CLDN10"
"394",0,9.28719473405996,0.37,0.001,0,"19","CLDN3"
"395",0,7.38963027261719,0.35,0.01,0,"19","LGALS4"
"396",0,8.66547822414417,0.311,0.001,0,"19","CLDN4"
"397",0,7.19845971056064,0.289,0.006,0,"19","TCIM"
"398",0,9.86398650875424,0.28,0.001,0,"19","SCGN"
"399",0,9.29396091631361,0.26,0.002,0,"19","EPCAM"
"400",0,7.38544666557408,0.251,0.002,0,"19","SERPINA4"
"401",0,13.2158963423374,0.905,0.001,0,"20","APOC3"
"402",0,13.2305485257932,0.903,0.001,0,"20","APOA2"
"403",0,12.852207815545,0.894,0.002,0,"20","TTR"
"404",0,11.88346264847,0.887,0.009,0,"20","APOA1"
"405",0,11.6404048519613,0.875,0.008,0,"20","HP"
"406",0,12.3459543209722,0.829,0.001,0,"20","FGB"
"407",0,11.7487048885931,0.82,0.002,0,"20","ORM1"
"408",0,13.3318859031902,0.744,0,0,"20","FABP1"
"409",0,11.9251336479865,0.737,0.001,0,"20","ALDOB"
"410",0,11.6145902890521,0.734,0.002,0,"20","HPX"
"411",0,12.1678104758822,0.723,0.001,0,"20","AHSG"
"412",0,12.2403351003989,0.667,0,0,"20","HRG"
"413",0,11.6680237175385,0.642,0.001,0,"20","MT1H"
"414",0,12.4834171360247,0.619,0,0,"20","AGXT"
"415",0,12.1507290986407,0.464,0.002,0,"20","SAA1"
"416",0,13.7491132347732,0.418,0,0,"20","SAA4"
"417",0,13.1462239301489,0.37,0,0,"20","ADH1A"
"418",0,12.744235307517,0.342,0.001,0,"20","SAA2"
"419",0,11.7120804660461,0.33,0,0,"20","PRAP1"
"420",0,11.9843690478417,0.277,0,0,"20","TAT"
"421",0,9.02519744600437,0.947,0.038,0,"21","TAGLN"
"422",0,9.58191701208634,0.898,0.021,0,"21","ACTA2"
"423",0,8.96785919957702,0.707,0.01,0,"21","RGS5"
"424",0,8.50902969559922,0.699,0.005,0,"21","NOTCH3"
"425",0,9.08386044301395,0.68,0.004,0,"21","NDUFA4L2"
"426",0,9.24189692687328,0.59,0.005,0,"21","MUSTN1"
"427",0,9.30349543887496,0.56,0.002,0,"21","COX4I2"
"428",0,9.38997135704195,0.447,0.002,0,"21","TBX2"
"429",0,8.81501518619795,0.432,0.002,0,"21","EDNRA"
"430",0,8.7544884878357,0.417,0.002,0,"21","FRZB"
"431",0,9.65786879219222,0.398,0.001,0,"21","FHL5"
"432",0,11.2686564885028,0.368,0.001,0,"21","RERGL"
"433",0,8.85451614810837,0.338,0.003,0,"21","PLN"
"434",0,8.52915463482344,0.316,0.002,0,"21","GUCY1A2"
"435",0,9.10570593370519,0.312,0.001,0,"21","CARMN"
"436",0,9.96725304708519,0.301,0.001,0,"21","CNN1"
"437",0,10.9785492557893,0.267,0,0,"21","WFDC1"
"438",0,9.41887796962638,0.259,0.001,0,"21","ADGRL3"
"439",0,9.77865306179262,0.256,0.001,0,"21","FOXS1"
"440",0,9.28725208379727,0.252,0.001,0,"21","TBX2-AS1"
"441",0,7.51240696300123,0.469,0.006,0,"22","TYMS"
"442",0,7.31501285347889,0.465,0.005,0,"22","MKI67"
"443",0,12.0067773480921,0.383,0.003,0,"22","PPBP"
"444",0,10.8208099758836,0.375,0.003,0,"22","TUBB1"
"445",0,11.8003709954992,0.367,0.002,0,"22","PF4"
"446",0,11.3681842087476,0.355,0.001,0,"22","GP9"
"447",0,9.37583639602071,0.348,0.006,0,"22","ITGA2B"
"448",0,9.33361574681542,0.336,0.006,0,"22","MPIG6B"
"449",0,10.4577026928288,0.328,0.003,0,"22","TREML1"
"450",0,7.4905108815454,0.324,0.003,0,"22","UBE2C"
"451",0,8.72387009126557,0.324,0.014,0,"22","ACRBP"
"452",0,10.8843762163147,0.309,0.001,0,"22","GP1BB"
"453",0,7.48776500491002,0.297,0.002,0,"22","BIRC5"
"454",0,11.9688258497008,0.293,0.001,0,"22","CMTM5"
"455",0,7.76194194649346,0.281,0.011,0,"22","AP003068.2"
"456",0,10.9374356076616,0.27,0.001,0,"22","PF4V1"
"457",0,8.0059177307153,0.27,0.001,0,"22","PKMYT1"
"458",0,9.50929341001686,0.266,0.004,0,"22","ITGB3"
"459",1.08833205343033e-195,8.04835798644602,0.379,0.036,3.98340414876037e-191,"22","PRKAR2B"
"460",3.60257717993152e-116,8.64927721875484,0.441,0.082,1.31857927362673e-111,"22","NRGN"
"461",0,10.3793547114719,0.931,0.003,0,"23","LILRA4"
"462",0,11.8937142947082,0.828,0,0,"23","LRRC26"
"463",0,14.5175222992179,0.808,0,0,"23","SCT"
"464",0,9.94042326145272,0.808,0.001,0,"23","CLEC4C"
"465",0,11.1367029875493,0.724,0.001,0,"23","LINC01478"
"466",0,7.65000650051125,0.719,0.003,0,"23","CUX2"
"467",0,8.06607662108437,0.581,0.003,0,"23","RGS7"
"468",0,10.6452569316459,0.557,0.001,0,"23","COL26A1"
"469",0,7.92090537499255,0.542,0.003,0,"23","SCAMP5"
"470",0,8.04819114583784,0.512,0.002,0,"23","AC007381.1"
"471",0,8.95171177835046,0.488,0.002,0,"23","LAMP5"
"472",0,14.647203268386,0.478,0,0,"23","AC097375.1"
"473",0,8.10725401367537,0.473,0.003,0,"23","LINC01226"
"474",0,9.00182743946497,0.468,0.001,0,"23","SHD"
"475",0,7.65717574713062,0.419,0.003,0,"23","COL24A1"
"476",0,9.53934523400662,0.379,0,0,"23","KCNK10"
"477",0,8.05912439250756,0.345,0.001,0,"23","KCNK17"
"478",0,11.7926816656229,0.305,0,0,"23","KRT5"
"479",0,7.93620313022398,0.296,0.002,0,"23","VASH2"
"480",0,10.9078157797521,0.291,0,0,"23","AC011893.1"
"481",0,10.3615841088936,0.945,0.02,0,"24","JCHAIN"
"482",0,8.14517556805006,0.94,0.02,0,"24","MZB1"
"483",0,6.83835015805184,0.94,0.072,0,"24","TXNDC5"
"484",0,7.84937078509546,0.849,0.011,0,"24","DERL3"
"485",0,8.81720360396245,0.734,0.003,0,"24","TNFRSF17"
"486",0,11.1848582325194,0.724,0.011,0,"24","IGHA1"
"487",0,9.98388009857412,0.658,0.027,0,"24","IGKC"
"488",0,10.0965069460371,0.553,0.004,0,"24","IGLC1"
"489",0,6.25880980026098,0.432,0.004,0,"24","PYCR1"
"490",0,11.5200315602277,0.392,0.008,0,"24","IGHG1"
"491",0,10.6736491981337,0.387,0.004,0,"24","IGHA2"
"492",0,9.14793785922267,0.382,0.013,0,"24","IGLC2"
"493",0,10.927709239408,0.362,0,0,"24","BHLHA15"
"494",0,6.202675025976,0.362,0.002,0,"24","AC104699.1"
"495",0,9.33209999823552,0.352,0.008,0,"24","IGHG3"
"496",0,10.787653120139,0.317,0.003,0,"24","IGHG4"
"497",0,7.33524806988289,0.286,0.001,0,"24","AC009570.2"
"498",0,12.0735156248,0.251,0,0,"24","IGHGP"
"499",6.45280807199178e-168,9.17179777101343,0.256,0.014,2.36179228242971e-163,"24","IGHG2"
"500",3.80352959504647e-94,7.79842916773174,0.317,0.036,1.39212986708296e-89,"24","IGHM"
